Open,High,Low,Last,5Time
380.59,380.82,380.28,380.28,1
380.27,380.69,380.22,380.59,2
380.6,380.8,380.37,380.62,3
380.62,380.68,380.39,380.54,4
380.55,380.69,380.39,380.52,5
380.52,380.93,380.51,380.84,6
380.83,381.08,380.77,381,7
381,381.07,380.48,380.64,8
380.67,380.83,380.54,380.72,9
380.72,381.13,380.7,381.13,10
381.12,381.13,380.9,380.92,11
380.92,381.04,380.87,380.97,12
380.97,381.09,380.76,380.77,13
380.78,380.81,380.36,380.65,14
380.65,380.98,380.65,380.9,15
380.89,380.91,380.74,380.83,16
380.81,380.96,380.8,380.86,17
380.86,380.86,380.58,380.77,18
380.76,380.82,380.47,380.51,19
380.5,380.69,380.48,380.54,20
380.54,380.87,380.52,380.84,21
380.83,380.87,380.63,380.64,22
380.63,380.7,380.4,380.53,23
380.52,380.61,380.47,380.55,24
380.55,380.62,380.41,380.45,25
380.44,380.49,380.18,380.31,26
380.32,380.56,380.29,380.54,27
380.56,380.59,380.32,380.33,28
380.34,380.45,380.24,380.36,29
380.36,380.44,380.23,380.38,30
380.37,380.43,380.26,380.37,31
380.38,380.53,380.26,380.26,32
380.26,380.45,380.1,380.44,33
380.45,380.46,380.23,380.34,34
380.34,380.49,380.33,380.47,35
380.48,380.5,380.35,380.39,36
380.4,380.53,380.27,380.32,37
380.33,380.37,380.12,380.21,38
380.21,380.21,379.94,380.1,39
380.1,380.2,379.84,380.13,40
380.12,380.56,380.11,380.52,41
380.49,380.76,380.49,380.63,42
380.63,380.69,380.58,380.67,43
380.66,380.73,380.6,380.68,44
380.68,380.7,380.48,380.5,45
380.5,380.5,380.29,380.3,46
380.32,380.66,380.07,380.28,47
380.27,380.31,380.14,380.29,48
380.28,380.42,380.16,380.35,49
380.34,380.57,380.28,380.54,50
380.55,380.62,380.48,380.5,51
380.5,380.6,380.48,380.53,52
380.53,380.59,380.31,380.36,53
380.36,380.47,380.21,380.24,54
380.24,380.47,380.21,380.35,55
380.35,380.44,380.32,380.39,56
380.39,380.47,380.18,380.28,57
380.3,380.52,380.28,380.39,58
380.4,380.41,380.17,380.19,59
380.19,380.19,379.99,380.18,60
380.17,380.29,380.14,380.18,61
380.17,380.19,380.05,380.09,62
380.09,380.14,379.95,380.06,63
380.05,380.09,379.86,379.89,64
379.89,380,379.67,379.77,65
379.78,379.92,379.65,379.9,66
379.91,380.08,379.85,379.95,67
379.95,379.99,379.66,379.69,68
379.69,379.75,379.18,379.35,69
379.36,379.44,378.6,378.62,70
378.61,379.28,378.58,378.98,71
378.96,379.18,378.77,379.17,72
379.17,379.55,378.96,379.3,73
379.3,379.43,379.15,379.37,74
379.37,379.41,379.19,379.33,75
379.32,379.5,378.9,378.98,76
378.99,379.05,378.22,378.29,77
378.28,378.75,378.1,378.58,78